IDENT_MEN;numbd;BNAT_PROD;BDCOD;NAT_PROD_A;NACHA_PROD;BDNEUF_PROD;BDCRED_PROD;BDLIEU_PROD;BDPRIX_PROD;BDPRIX_PRODRECUP;BDPRIX_PROD_D;BDOFFR_PROD;vag
10182;9;barbecue de jardin;409;;;1;3;3;59;;59;;2
10182;10;ETAGERES MURALES;411;;;1;3;7;22;;22;;2
10183;1;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;7;500;;500;;6
10183;2;Tablette PC;214;;1;1;3;8;500;;500;;6
10183;3;Téléphone portable;215;;1;1;3;8;150;;150;3;6
10183;4;CHAISE;401;;;2;3;8;250;;250;;6
10184;1;Réfrigérateur, réfrigérateur congélateur;101;;1;2;3;10;80;;80;;6
10184;2;Four à micro-ondes;107;;1;1;3;4;49;;49;;6
10184;3;Appareil pour l'alimentation du bébé;118;;1;1;3;4;35;;35;;6
10184;4;Console de jeux vidéo de salon ou portable;206;;1;2;3;10;150;;150;;6
10184;5;Téléphone portable;215;;1;1;3;8;39;;39;2;6
10184;6;BERCEAU;405;;;1;3;8;99;;99;;6
10184;7;MATELAS;406;;;1;3;8;109;;109;;6
10184;8;COMMODE;407;;;1;3;8;65;;65;;6
10188;1;Congélateur indépendant;102;;1;1;3;7;250;;250;;6
10189;1;TABLE;401;;;2;3;10;50;;50;;6
10189;2;MEUBLE TELE;404;;;2;3;10;10;;10;;6
10189;3;COFFRE;406;;;1;3;3;30;;30;;6
10191;1;Robot, mixeur, hachoir, balance alimentaire, couteau électrique;116;;1;1;3;7;80;;80;;2
10191;2;Autoradio;244;;1;1;3;8;30;;30;;2
10194;1;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;2;3;10;20;;20;;3
10194;2;Cuiseur, friteuse, autocuiseur;113;;1;1;3;6;25;;25;;3
10194;3;Tablette PC;214;;2;1;3;4;60;;60;;3
10194;4;Téléphone fixe;216;;1;1;3;4;20;;20;;3
10194;5;TABLE;401;;;1;3;7;60;;60;;3
10195;1;Rasoir électrique, épilateur, tondeuse ou appareil pour soin du cheveu;120;;1;1;3;4;45;;45;;1
10195;2;Radio, radio-réveil;207;;1;1;3;7;25;;25;;1
10195;3;Téléphone portable;215;;1;1;3;8;200;;200;1;1
10195;4;LIT;406;;;1;3;7;200;;200;;1
10196;1;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;3;49;;49;;3
10197;1;Téléphone portable;215;;1;1;3;8;30;;30;1;5
10199;1;Cartouche d'imprimante;219;;8;1;3;3;999999;5;5;;4
10199;2;Autre périphérique informatique (clef USB, souris, clavier, enceintes...);221;CLE USB;4;1;3;3;999999;21;21;;4
10199;3;Appareil photo numérique;231;;1;2;3;3;999999;650;650;;4
10199;4;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;1;1;3;3;999999;65;65;;4
10200;1;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;2;3;8;700;;700;;1
10201;1;Home cinéma, installation complète;202;;1;1;3;7;249;;249;;3
10201;2;Téléphone portable;215;;1;1;2;8;120;;120;3;3
10201;3;TABLE DE SALON;404;;;1;3;7;135;;135;;3
10201;4;ETAGERE;411;;;1;3;6;50;;50;;3
10202;1;Téléphone portable;215;;1;1;3;1;700;;700;4;1
10202;2;CHAISES;403;;;1;3;4;20;;20;;1
10203;1;Climatiseur, déshumidificateur;110;;1;1;3;8;1000;;1000;;4
10203;2;Téléphone portable;215;;1;1;3;3;429;;429;4;4
10203;3;MEUBLE SOUS VASQUE;407;;;1;3;6;109;;109;;4
10205;1;Tondeuse à gazon;301;;1;1;3;7;300;;300;;1
